component	msgctxt	msgid	draft_msgstr	hard_terms
ecpg		"cursor ""%s"" has been declared but not opened"	"[REVIEW: cursor; untranslated] cursor ""%s"" has been declared but not opened"	cursor
ecpg		unterminated bit string literal	[REVIEW: untranslated] unterminated bit string literal	
ecpg		unterminated hexadecimal string literal	[REVIEW: untranslated] unterminated hexadecimal string literal	
ecpg		unhandled previous state in xqs\n	[REVIEW: untranslated] unhandled previous state in xqs\n	
ecpg		unterminated quoted string	[REVIEW: untranslated] unterminated quoted string	
ecpg		unterminated dollar-quoted string	[REVIEW: untranslated] unterminated dollar-quoted string	
ecpg		zero-length delimited identifier	[REVIEW: untranslated] zero-length delimited identifier	
ecpg		unterminated quoted identifier	[REVIEW: untranslated] unterminated quoted identifier	
ecpg		parameter number too large	[REVIEW: untranslated] parameter number too large	
ecpg		trailing junk after parameter	[REVIEW: untranslated] trailing junk after parameter	
ecpg		trailing junk after numeric literal	[REVIEW: untranslated] trailing junk after numeric literal	
ecpg		too many nested EXEC SQL IFDEF conditions	[REVIEW: untranslated] too many nested EXEC SQL IFDEF conditions	
ecpg		more than one EXEC SQL ELSE	[REVIEW: untranslated] more than one EXEC SQL ELSE	
ecpg		unmatched EXEC SQL ENDIF	[REVIEW: untranslated] unmatched EXEC SQL ENDIF	
ecpg		"cursor ""%s"" does not exist"	"[REVIEW: cursor] cursor ""%s"" अवस्थित छैन"	cursor
ecpg		initializer not allowed in type definition	[REVIEW: untranslated] initializer not allowed in type definition	
ecpg		"type ""%s"" is already defined"	"[REVIEW: untranslated] type ""%s"" is already defined"	
ecpg		multidimensional arrays for simple data types are not supported	[REVIEW: untranslated] multidimensional arrays for simple data types are not supported	
ecpg		connection %s is overwritten with %s by DECLARE statement %s	[REVIEW: statement; untranslated] connection %s is overwritten with %s by DECLARE statement %s	statement
ecpg		AT option not allowed in CLOSE DATABASE statement	[REVIEW: statement; untranslated] AT option not allowed in CLOSE DATABASE statement	statement
ecpg		AT option not allowed in CONNECT statement	[REVIEW: statement; untranslated] AT option not allowed in CONNECT statement	statement
ecpg		AT option not allowed in DISCONNECT statement	[REVIEW: statement; untranslated] AT option not allowed in DISCONNECT statement	statement
ecpg		AT option not allowed in SET CONNECTION statement	[REVIEW: statement; untranslated] AT option not allowed in SET CONNECTION statement	statement
ecpg		AT option not allowed in TYPE statement	[REVIEW: statement; untranslated] AT option not allowed in TYPE statement	statement
ecpg		AT option not allowed in VAR statement	[REVIEW: statement; untranslated] AT option not allowed in VAR statement	statement
ecpg		AT option not allowed in WHENEVER statement	[REVIEW: statement; untranslated] AT option not allowed in WHENEVER statement	statement
ecpg		unsupported feature will be passed to server	[REVIEW: untranslated] unsupported feature will be passed to server	
ecpg		SHOW ALL is not implemented	[REVIEW: untranslated] SHOW ALL is not implemented	
ecpg		COPY FROM STDIN is not implemented	[REVIEW: untranslated] COPY FROM STDIN is not implemented	
ecpg		"""database"" cannot be used as cursor name in INFORMIX mode"	"[REVIEW: cursor] ""database"" गर्न सकिँदैन be used as cursor नाम in INFORMIX mode"	cursor
ecpg		"using variable ""%s"" in different declare statements is not supported"	"[REVIEW: statement; untranslated] using variable ""%s"" in different declare statements is not supported"	statement
ecpg		"cursor ""%s"" is already defined"	"[REVIEW: cursor; untranslated] cursor ""%s"" is already defined"	cursor
ecpg		no longer supported LIMIT #,# syntax passed to server	[REVIEW: untranslated] no longer supported LIMIT #,# syntax passed to server	
ecpg		"only protocols ""tcp"" and ""unix"" and database type ""postgresql"" are supported"	"[REVIEW: untranslated] only protocols ""tcp"" and ""unix"" and database type ""postgresql"" are supported"	
ecpg		"Unix-domain sockets only work on ""localhost"" but not on ""%s"""	"[REVIEW: untranslated] Unix-domain sockets only work on ""localhost"" but not on ""%s"""	
ecpg		"expected ""postgresql"", found ""%s"""	"[REVIEW: untranslated] expected ""postgresql"", found ""%s"""	
ecpg		"expected ""@"" or ""://"", found ""%s"""	"[REVIEW: untranslated] expected ""@"" or ""://"", found ""%s"""	
ecpg		incomplete statement	[REVIEW: statement] incomplete statement	statement
ecpg		only data types numeric and decimal have precision/scale argument	[REVIEW: untranslated] only data types numeric and decimal have precision/scale argument	
ecpg		interval specification not allowed here	[REVIEW: untranslated] interval specification not allowed here	
ecpg		too many levels in nested structure/union definition	[REVIEW: untranslated] too many levels in nested structure/union definition	
ecpg		pointers to varchar are not implemented	[REVIEW: untranslated] pointers to varchar are not implemented	
ecpg		initializer not allowed in EXEC SQL VAR command	[REVIEW: untranslated] initializer not allowed in EXEC SQL VAR command	
ecpg		arrays of indicators are not allowed on input	[REVIEW: untranslated] arrays of indicators are not allowed on input	
ecpg		operator not allowed in variable definition	[REVIEW: untranslated] operator not allowed in variable definition	
ecpg		"%s at or near ""%s"""	"[REVIEW: untranslated] %s at or near ""%s"""	
ecpg		unrecognized variable type code %d	[REVIEW: untranslated] unrecognized variable type code %d	
ecpg		"variable ""%s"" is hidden by a local variable of a different type"	"[REVIEW: untranslated] variable ""%s"" is hidden by a local variable of a different type"	
ecpg		"variable ""%s"" is hidden by a local variable"	"[REVIEW: untranslated] variable ""%s"" is hidden by a local variable"	
ecpg		"indicator variable ""%s"" is hidden by a local variable of a different type"	"[REVIEW: untranslated] indicator variable ""%s"" is hidden by a local variable of a different type"	
ecpg		"indicator variable ""%s"" is hidden by a local variable"	"[REVIEW: untranslated] indicator variable ""%s"" is hidden by a local variable"	
ecpg		indicator for array/pointer has to be array/pointer	[REVIEW: untranslated] indicator for array/pointer has to be array/pointer	
ecpg		nested arrays are not supported (except strings)	[REVIEW: untranslated] nested arrays are not supported (except strings)	
ecpg		indicator for struct has to be a struct	[REVIEW: untranslated] indicator for struct has to be a struct	
ecpg		indicator for simple data type has to be simple	[REVIEW: untranslated] indicator for simple data type has to be simple	
ecpg		"indicator struct ""%s"" has too few members"	"[REVIEW: untranslated] indicator struct ""%s"" has too few members"	
ecpg		"indicator struct ""%s"" has too many members"	"[REVIEW: untranslated] indicator struct ""%s"" has too many members"	
ecpg		unrecognized descriptor item code %d	[REVIEW: untranslated] unrecognized descriptor item code %d	
ecpg		out of memory	[REVIEW: untranslated] out of memory	
ecpg		"incorrectly formed variable ""%s"""	"[REVIEW: untranslated] incorrectly formed variable ""%s"""	
ecpg		"variable ""%s"" is not a pointer"	"[REVIEW: untranslated] variable ""%s"" is not a pointer"	
ecpg		"variable ""%s"" is not a pointer to a structure or a union"	"[REVIEW: untranslated] variable ""%s"" is not a pointer to a structure or a union"	
ecpg		"variable ""%s"" is neither a structure nor a union"	"[REVIEW: untranslated] variable ""%s"" is neither a structure nor a union"	
ecpg		"variable ""%s"" is not an array"	"[REVIEW: untranslated] variable ""%s"" is not an array"	
ecpg		"unmatched bracket in variable ""%s"""	"[REVIEW: untranslated] unmatched bracket in variable ""%s"""	
ecpg		"variable ""%s"" is not declared"	"[REVIEW: untranslated] variable ""%s"" is not declared"	
ecpg		indicator variable must have an integer type	[REVIEW: untranslated] indicator variable must have an integer type	
ecpg		multidimensional arrays are not supported	[REVIEW: untranslated] multidimensional arrays are not supported	
ecpg		multilevel pointers (more than 2 levels) are not supported; found %d level	[REVIEW: untranslated] multilevel pointers (more than 2 levels) are not supported; found %d level	
ecpg		pointer to pointer is not supported for this data type	[REVIEW: untranslated] pointer to pointer is not supported for this data type	
ecpg		multidimensional arrays for structures are not supported	[REVIEW: untranslated] multidimensional arrays for structures are not supported	
ecpglib		empty message text	[REVIEW: untranslated] empty message text	
ecpglib		empty query on line %d	[REVIEW: query] empty query on लाइन %d	query
ecpglib		"invalid statement name ""%s"" on line %d"	"[REVIEW: statement] अमान्य statement नाम ""%s"" on लाइन %d"	statement
ecpglib		error in transaction processing on line %d	[REVIEW: transaction] त्रुटि in transaction processing on लाइन %d	transaction
ecpglib		cursor is invalid on line %d	[REVIEW: cursor] cursor is अमान्य on लाइन %d	cursor
ecpglib		the connection to the server was lost	[REVIEW: untranslated] the connection to the server was lost	
initdb		"no data was returned by command ""%s"""	"[REVIEW: untranslated] no data was returned by command ""%s"""	
initdb		out of memory	[REVIEW: untranslated] out of memory	
initdb		out of memory\n	[REVIEW: untranslated] out of memory\n	
initdb		"this build does not support sync method ""%s"""	"[REVIEW: untranslated] this build does not support sync method ""%s"""	
initdb		command not executable	[REVIEW: untranslated] command not executable	
initdb		child process exited with exit code %d	[REVIEW: untranslated] child process exited with exit code %d	
initdb		child process was terminated by exception 0x%X	[REVIEW: untranslated] child process was terminated by exception 0x%X	
initdb		child process was terminated by signal %d: %s	[REVIEW: untranslated] child process was terminated by signal %d: %s	
initdb		child process exited with unrecognized status %d	[REVIEW: untranslated] child process exited with unrecognized status %d	
initdb		%s must be in range %d..%d	[REVIEW: untranslated] %s must be in range %d..%d	
initdb		unrecognized sync method: %s	[REVIEW: untranslated] unrecognized sync method: %s	
initdb		_wsetlocale() failed	[REVIEW: locale] _wsetlocale() असफल भयो	locale
initdb		setlocale() failed	[REVIEW: locale] setlocale() असफल भयो	locale
initdb		failed to restore old locale	[REVIEW: restore, locale] असफल भयो to restore old locale	restore, locale
initdb		"failed to restore old locale ""%s"""	"[REVIEW: restore, locale] असफल भयो to restore old locale ""%s"""	restore, locale
initdb		"removing data directory ""%s"""	"[REVIEW: untranslated] removing data directory ""%s"""	
initdb		"removing contents of data directory ""%s"""	"[REVIEW: untranslated] removing contents of data directory ""%s"""	
initdb		"removing WAL directory ""%s"""	"[REVIEW: WAL; untranslated] removing WAL directory ""%s"""	WAL
initdb		failed to remove WAL directory	[REVIEW: WAL] असफल भयो to remove WAL directory	WAL
initdb		"removing contents of WAL directory ""%s"""	"[REVIEW: WAL; untranslated] removing contents of WAL directory ""%s"""	WAL
initdb		failed to remove contents of WAL directory	[REVIEW: WAL] असफल भयो to remove contents of WAL directory	WAL
initdb		"WAL directory ""%s"" not removed at user's request"	"[REVIEW: WAL] WAL directory ""%s"" not removed at प्रयोगकर्ता's request"	WAL
initdb		"Please log in (using, e.g., ""su"") as the (unprivileged) user that will own the server process."	"[REVIEW: privilege; sentence] Please log in (using, e.g., ""su"") as the (unprivileged) प्रयोगकर्ता that will own the server process."	privilege
initdb		"""%s"" is not a valid server encoding name"	"[REVIEW: encoding] ""%s"" is not a valid server encoding नाम"	encoding
initdb		This might mean you have a corrupted installation or identified the wrong directory with the invocation option -L.	[REVIEW: untranslated] This might mean you have a corrupted installation or identified the wrong directory with the invocation option -L.	
initdb		selecting dynamic shared memory implementation ... 	[REVIEW: untranslated] selecting dynamic shared memory implementation ... 	
initdb		"selecting default ""max_connections"" ... "	"[REVIEW: untranslated] selecting default ""max_connections"" ... "	
initdb		"selecting default ""autovacuum_worker_slots"" ... %d\n"	"[REVIEW: autovacuum, slot; untranslated] selecting default ""autovacuum_worker_slots"" ... %d\n"	autovacuum, slot
initdb		"selecting default ""shared_buffers"" ... "	"[REVIEW: buffer; untranslated] selecting default ""shared_buffers"" ... "	buffer
initdb		selecting default time zone ... 	[REVIEW: untranslated] selecting default time zone ... 	
initdb		"could not change permissions of ""%s"": %m"	"[REVIEW: permission] गर्न सकिएन change permissions of ""%s"": %m"	permission
initdb		running bootstrap script ... 	[REVIEW: untranslated] running bootstrap script ... 	
initdb		Specify the correct path using the option -L.	[REVIEW: untranslated] Specify the correct path using the option -L.	
initdb		Enter it again: 	[REVIEW: untranslated] Enter it again: 	
initdb		Passwords didn't match.\n	[REVIEW: untranslated] Passwords didn't match.\n	
initdb		"locale name ""%s"" contains non-ASCII characters"	"[REVIEW: locale] locale नाम ""%s"" contains non-ASCII characters"	locale
initdb		"invalid locale name ""%s"""	"[REVIEW: locale] अमान्य locale नाम ""%s"""	locale
initdb		If the locale name is specific to ICU, use --icu-locale.	[REVIEW: locale] If the locale नाम is specific to ICU, use --icu-locale.	locale
initdb		invalid locale settings; check LANG and LC_* environment variables	[REVIEW: locale] अमान्य locale settings; check LANG and LC_* environment variables	locale
initdb		encoding mismatch	[REVIEW: encoding] encoding mismatch	encoding
initdb		The encoding you selected (%s) and the encoding that the selected locale uses (%s) do not match. This would lead to misbehavior in various character string processing functions.	[REVIEW: encoding, locale; untranslated] The encoding you selected (%s) and the encoding that the selected locale uses (%s) do not match. This would lead to misbehavior in various character string processing functions.	encoding, locale
initdb		Rerun %s and either do not specify an encoding explicitly, or choose a matching combination.	[REVIEW: encoding; untranslated] Rerun %s and either do not specify an encoding explicitly, or choose a matching combination.	encoding
initdb		The encoding you selected (%s) is not supported with the ICU provider.	[REVIEW: encoding; untranslated] The encoding you selected (%s) is not supported with the ICU provider.	encoding
initdb		"could not convert locale name ""%s"" to language tag: %s"	"[REVIEW: locale] गर्न सकिएन convert locale नाम ""%s"" to language tag: %s"	locale
initdb		ICU is not supported in this build	[REVIEW: untranslated] ICU is not supported in this build	
initdb		"could not get language from locale ""%s"": %s"	"[REVIEW: locale] गर्न सकिएन get language from locale ""%s"": %s"	locale
initdb		"locale ""%s"" has unknown language ""%s"""	"[REVIEW: locale] locale ""%s"" has अज्ञात language ""%s"""	locale
initdb		locale must be specified if provider is %s	[REVIEW: locale; untranslated] locale must be specified if provider is %s	locale
initdb		"invalid locale name ""%s"" for builtin provider"	"[REVIEW: locale] अमान्य locale नाम ""%s"" for builtin provider"	locale
initdb		"Using language tag ""%s"" for ICU locale ""%s"".\n"	"[REVIEW: locale; untranslated] Using language tag ""%s"" for ICU locale ""%s"".\n"	locale
initdb		%s initializes a PostgreSQL database cluster.\n\n	[REVIEW: untranslated] %s initializes a PostgreSQL database cluster.\n\n	
initdb		  -A, --auth=METHOD         default authentication method for local connections\n	[REVIEW: authentication; untranslated]   -A, --auth=METHOD         default authentication method for local connections\n	authentication
initdb		      --auth-host=METHOD    default authentication method for local TCP/IP connections\n	[REVIEW: authentication; untranslated]       --auth-host=METHOD    default authentication method for local TCP/IP connections\n	authentication
initdb		      --auth-local=METHOD   default authentication method for local-socket connections\n	[REVIEW: authentication; untranslated]       --auth-local=METHOD   default authentication method for local-socket connections\n	authentication
initdb		 [-D, --pgdata=]DATADIR     location for this database cluster\n	[REVIEW: untranslated]  [-D, --pgdata=]DATADIR     location for this database cluster\n	
initdb		  -E, --encoding=ENCODING   set default encoding for new databases\n	[REVIEW: encoding; untranslated]   -E, --encoding=ENCODING   set default encoding for new databases\n	encoding
initdb		  -g, --allow-group-access  allow group read/execute on data directory\n	[REVIEW: untranslated]   -g, --allow-group-access  allow group read/execute on data directory\n	
initdb		      --icu-locale=LOCALE   set ICU locale ID for new databases\n	[REVIEW: locale; untranslated]       --icu-locale=LOCALE   set ICU locale ID for new databases\n	locale
initdb		      --icu-rules=RULES     set additional ICU collation rules for new databases\n	[REVIEW: collation; untranslated]       --icu-rules=RULES     set additional ICU collation rules for new databases\n	collation
initdb		  -k, --data-checksums      use data page checksums\n	[REVIEW: untranslated]   -k, --data-checksums      use data page checksums\n	
initdb		      --locale=LOCALE       set default locale for new databases\n	[REVIEW: locale; untranslated]       --locale=LOCALE       set default locale for new databases\n	locale
initdb		      --lc-collate=, --lc-ctype=, --lc-messages=LOCALE\n      --lc-monetary=, --lc-numeric=, --lc-time=LOCALE\n                            set default locale in the respective category for\n                            new databases (default taken from environment)\n	[REVIEW: locale; untranslated]       --lc-collate=, --lc-ctype=, --lc-messages=LOCALE\n[REVIEW: locale; untranslated]       --lc-monetary=, --lc-numeric=, --lc-time=LOCALE\n[REVIEW: locale; untranslated]                             set default locale in the respective category for\n[REVIEW: untranslated]                             new databases (default taken from environment)\n	locale
initdb		      --no-locale           equivalent to --locale=C\n	[REVIEW: locale; untranslated]       --no-locale           equivalent to --locale=C\n	locale
initdb		      --builtin-locale=LOCALE\n                            set builtin locale name for new databases\n	[REVIEW: locale]       --builtin-locale=LOCALE\n[REVIEW: locale]                             set builtin locale नाम for new databases\n	locale
initdb		      --locale-provider={builtin|libc|icu}\n                            set default locale provider for new databases\n	[REVIEW: locale; untranslated]       --locale-provider={builtin|libc|icu}\n[REVIEW: locale; untranslated]                             set default locale provider for new databases\n	locale
initdb		      --no-data-checksums   do not use data page checksums\n	[REVIEW: untranslated]       --no-data-checksums   do not use data page checksums\n	
initdb		  -T, --text-search-config=CFG\n                            default text search configuration\n	  -T, --text-search-config=CFG\n[REVIEW: untranslated]                             default text search configuration\n	
initdb		  -X, --waldir=WALDIR       location for the write-ahead log directory\n	[REVIEW: write-ahead log, WAL; untranslated]   -X, --waldir=WALDIR       location for the write-ahead log directory\n	write-ahead log, WAL
initdb		      --wal-segsize=SIZE    size of WAL segments, in megabytes\n	[REVIEW: WAL; untranslated]       --wal-segsize=SIZE    size of WAL segments, in megabytes\n	WAL
initdb		\nLess commonly used options:\n	\n[REVIEW: untranslated] Less commonly used options:\n	
initdb		  -c, --set NAME=VALUE      override default setting for server parameter\n	[REVIEW: untranslated]   -c, --set NAME=VALUE      override default setting for server parameter\n	
initdb		  -d, --debug               generate lots of debugging output\n	[REVIEW: untranslated]   -d, --debug               generate lots of debugging output\n	
initdb		      --discard-caches      set debug_discard_caches=1\n	[REVIEW: untranslated]       --discard-caches      set debug_discard_caches=1\n	
initdb		  -N, --no-sync             do not wait for changes to be written safely to disk\n	[REVIEW: untranslated]   -N, --no-sync             do not wait for changes to be written safely to disk\n	
initdb		      --no-instructions     do not print instructions for next steps\n	[REVIEW: untranslated]       --no-instructions     do not print instructions for next steps\n	
initdb		  -s, --show                show internal settings, then exit\n	[REVIEW: untranslated]   -s, --show                show internal settings, then exit\n	
initdb		  -V, --version             output version information, then exit\n	[REVIEW: untranslated]   -V, --version             output version information, then exit\n	
initdb		  -?, --help                show this help, then exit\n	[REVIEW: untranslated]   -?, --help                show this help, then exit\n	
initdb		\nIf the data directory is not specified, the environment variable PGDATA\nis used.\n	\n[REVIEW: untranslated] If the data directory is not specified, the environment variable PGDATA\nis used.\n	
initdb		\nReport bugs to <%s>.\n	\n[REVIEW: untranslated] Report bugs to <%s>.\n	
initdb		"invalid authentication method ""%s"" for ""%s"" connections"	"[REVIEW: authentication] अमान्य authentication method ""%s"" for ""%s"" connections"	authentication
initdb		must specify a password for the superuser to enable password authentication	[REVIEW: authentication] must specify a password for the superप्रयोगकर्ता to enable password authentication	authentication
initdb		no data directory specified	[REVIEW: untranslated] no data directory specified	
initdb		You must identify the directory where the data for this database system will reside.  Do this with either the invocation option -D or the environment variable PGDATA.	[REVIEW: untranslated] You must identify the directory where the data for this database system will reside.  Do this with either the invocation option -D or the environment variable PGDATA.	
initdb		"program ""%s"" is needed by %s but was not found in the same directory as ""%s"""	"[REVIEW: sentence] program ""%s"" is needed by %s but was फेला परेन in the same directory as ""%s"""	
initdb		"program ""%s"" was found by ""%s"" but was not the same version as %s"	"[REVIEW: untranslated] program ""%s"" was found by ""%s"" but was not the same version as %s"	
initdb		"The database cluster will be initialized with locale ""%s"".\n"	"[REVIEW: locale; untranslated] The database cluster will be initialized with locale ""%s"".\n"	locale
initdb		The database cluster will be initialized with this locale configuration:\n	[REVIEW: locale; untranslated] The database cluster will be initialized with this locale configuration:\n	locale
initdb		  locale provider:   %s\n	[REVIEW: locale]   locale provider:   %s\n	locale
initdb		  default collation: %s\n	[REVIEW: collation]   default collation: %s\n	collation
initdb		"could not find suitable encoding for locale ""%s"""	"[REVIEW: encoding, locale] गर्न सकिएन find suitable encoding for locale ""%s"""	encoding, locale
initdb		Rerun %s with the -E option.	[REVIEW: untranslated] Rerun %s with the -E option.	
initdb		"Encoding ""%s"" implied by locale is not allowed as a server-side encoding.\nThe default database encoding will be set to ""%s"" instead.\n"	"[REVIEW: encoding, locale; untranslated] Encoding ""%s"" implied by locale is not allowed as a server-side encoding.\n[REVIEW: encoding; untranslated] The default database encoding will be set to ""%s"" instead.\n"	encoding, locale
initdb		"locale ""%s"" requires unsupported encoding ""%s"""	"[REVIEW: encoding, locale; untranslated] locale ""%s"" requires unsupported encoding ""%s"""	encoding, locale
initdb		"Encoding ""%s"" is not allowed as a server-side encoding."	"[REVIEW: encoding; untranslated] Encoding ""%s"" is not allowed as a server-side encoding."	encoding
initdb		Rerun %s with a different locale selection.	[REVIEW: locale; untranslated] Rerun %s with a different locale selection.	locale
initdb		"The default database encoding has accordingly been set to ""%s"".\n"	"[REVIEW: encoding; untranslated] The default database encoding has accordingly been set to ""%s"".\n"	encoding
initdb		"builtin provider locale ""%s"" requires encoding ""%s"""	"[REVIEW: encoding, locale; untranslated] builtin provider locale ""%s"" requires encoding ""%s"""	encoding, locale
initdb		"could not find suitable text search configuration for locale ""%s"""	"[REVIEW: locale] गर्न सकिएन find suitable text search configuration for locale ""%s"""	locale
initdb		"suitable text search configuration for locale ""%s"" is unknown"	"[REVIEW: locale] suitable text search configuration for locale ""%s"" is अज्ञात"	locale
initdb		"specified text search configuration ""%s"" might not match locale ""%s"""	"[REVIEW: locale; untranslated] specified text search configuration ""%s"" might not match locale ""%s"""	locale
initdb		"The default text search configuration will be set to ""%s"".\n"	"[REVIEW: untranslated] The default text search configuration will be set to ""%s"".\n"	
initdb		fixing permissions on existing directory %s ... 	[REVIEW: permission; untranslated] fixing permissions on existing directory %s ... 	permission
initdb		"could not change permissions of directory ""%s"": %m"	"[REVIEW: permission] गर्न सकिएन change permissions of directory ""%s"": %m"	permission
initdb		"directory ""%s"" exists but is not empty"	"[REVIEW: untranslated] directory ""%s"" exists but is not empty"	
initdb		"If you want to create a new database system, either remove or empty the directory ""%s"" or run %s with an argument other than ""%s""."	"[REVIEW: untranslated] If you want to create a new database system, either remove or empty the directory ""%s"" or run %s with an argument other than ""%s""."	
initdb		WAL directory location must be an absolute path	[REVIEW: WAL; untranslated] WAL directory location must be an absolute path	WAL
initdb		"If you want to store the WAL there, either remove or empty the directory ""%s""."	"[REVIEW: WAL; untranslated] If you want to store the WAL there, either remove or empty the directory ""%s""."	WAL
initdb		It contains a dot-prefixed/invisible file, perhaps due to it being a mount point.	[REVIEW: sentence] It contains a dot-prefixed/invisible फाइल, perhaps due to it being a mount point.	
initdb		It contains a lost+found directory, perhaps due to it being a mount point.	[REVIEW: untranslated] It contains a lost+found directory, perhaps due to it being a mount point.	
initdb		Using a mount point directly as the data directory is not recommended.\nCreate a subdirectory under the mount point.	[REVIEW: untranslated] Using a mount point directly as the data directory is not recommended.\n[REVIEW: untranslated] Create a subdirectory under the mount point.	
initdb		performing post-bootstrap initialization ... 	[REVIEW: untranslated] performing post-bootstrap initialization ... 	
initdb		Running in debug mode.\n	[REVIEW: untranslated] Running in debug mode.\n	
initdb		Running in no-clean mode.  Mistakes will not be cleaned up.\n	[REVIEW: untranslated] Running in no-clean mode.  Mistakes will not be cleaned up.\n	
initdb		unrecognized locale provider: %s	[REVIEW: locale; untranslated] unrecognized locale provider: %s	locale
initdb		"%s cannot be specified unless locale provider ""%s"" is chosen"	"[REVIEW: locale] %s गर्न सकिँदैन be specified unless locale provider ""%s"" is chosen"	locale
initdb		syncing data to disk ... 	[REVIEW: untranslated] syncing data to disk ... 	
initdb		argument of %s must be a power of two between 1 and 1024	[REVIEW: untranslated] argument of %s must be a power of two between 1 and 1024	
initdb		"superuser name ""%s"" is disallowed; role names cannot begin with ""pg_"""	"[REVIEW: role] superप्रयोगकर्ता नाम ""%s"" is disallowed; role नामs गर्न सकिँदैन begin with ""pg_"""	role
initdb		"The files belonging to this database system will be owned by user ""%s"".\nThis user must also own the server process.\n\n"	"[REVIEW: sentence] The फाइलs belonging to this database system will be owned by प्रयोगकर्ता ""%s"".\nThis प्रयोगकर्ता must also own the server process.\n\n"	
initdb		Data page checksums are enabled.\n	[REVIEW: untranslated] Data page checksums are enabled.\n	
initdb		Data page checksums are disabled.\n	[REVIEW: untranslated] Data page checksums are disabled.\n	
initdb		\nSync to disk skipped.\nThe data directory might become corrupt if the operating system crashes.\n	\n[REVIEW: untranslated] Sync to disk skipped.\n[REVIEW: untranslated] The data directory might become corrupt if the operating system crashes.\n	
initdb		"enabling ""trust"" authentication for local connections"	"[REVIEW: authentication; untranslated] enabling ""trust"" authentication for local connections"	authentication
initdb		You can change this by editing pg_hba.conf or using the option -A, or --auth-local and --auth-host, the next time you run initdb.	[REVIEW: untranslated] You can change this by editing pg_hba.conf or using the option -A, or --auth-local and --auth-host, the next time you run initdb.	
initdb		\nSuccess. You can now start the database server using:\n\n    %s\n\n	\n[REVIEW: untranslated] Success. You can now start the database server using:\n\n    %s\n\n	
libpq		"field ""%s"" is duplicated"	"[REVIEW: untranslated] field ""%s"" is duplicated"	
libpq		top-level element must be an object	[REVIEW: untranslated] top-level element must be an object	
libpq		no content type was provided	[REVIEW: untranslated] no content type was provided	
libpq		"unexpected content type: ""%s"""	"[REVIEW: untranslated] unexpected content type: ""%s"""	
libpq		response contains embedded NULLs	[REVIEW: untranslated] response contains embedded NULLs	
libpq		response is not valid UTF-8	[REVIEW: untranslated] response is not valid UTF-8	
